air_pollutant,unit_air_poll_lvl,air_pollutant_level,air_qual_stat_type,year,country,region,AQI_Index,geo_code,exceedance_amount
NO2,ug/m3,30.877,Traffic,2023,France,Western Europe,77.1925,FR,20.877
PM2.5,ug/m3,7.598,Background,2023,Norway,Scandinavia Europe,30.392,NO,2.598
NO2,ug/m3,16.404,Background,2023,Poland,Eastern Europe,41.010000000000005,PL,6.404
PM2.5,ug/m3,11.266,Traffic,2023,Poland,Eastern Europe,45.064,PL,6.266
NO2,ug/m3,74.142,Traffic,2023,France,Western Europe,185.355,FR,64.142
NO2,ug/m3,20.329,Traffic,2023,Norway,Scandinavia Europe,50.822500000000005,NO,10.329
NO2,ug/m3,13.585,Traffic,2023,Norway,Scandinavia Europe,33.9625,NO,3.585000000000001
PM10,ug/m3,17.252,Traffic,2023,Italy,Southern Europe,43.13,IT,2.251999999999999
PM10,ug/m3,26.361,Industrial,2023,Spain,Southern Europe,65.9025,ES,11.361
PM2.5,ug/m3,15.496,Industrial,2023,North Macedonia,Southern Europe,61.98400000000001,MK,10.496
NO2,ug/m3,12.431,Background,2023,Poland,Eastern Europe,31.0775,PL,2.430999999999999
PM10,ug/m3,16.754,Background,2023,Spain,Southern Europe,41.885000000000005,ES,1.7540000000000013
PM2.5,ug/m3,17.221,Background,2023,Poland,Eastern Europe,68.884,PL,12.221
NO2,ug/m3,22.149,Traffic,2023,Spain,Southern Europe,55.3725,ES,12.149000000000001
PM10,ug/m3,16.108,Background,2023,Spain,Southern Europe,40.27,ES,1.1080000000000005
PM10,ug/m3,23.616,Industrial,2023,Spain,Southern Europe,59.040000000000006,ES,8.616
NO2,ug/m3,12.027,Background,2023,Poland,Eastern Europe,30.067499999999995,PL,2.0269999999999992
PM10,ug/m3,13.828,Background,2023,Spain,Southern Europe,34.57,ES,0.0
PM2.5,ug/m3,6.484,Traffic,2023,Norway,Scandinavia Europe,25.936,NO,1.484
NO2,ug/m3,2.751,Background,2023,Spain,Southern Europe,6.8775,ES,0.0
